ID,Breed,Breed Size,Sex,Age,Weight (lbs),Spay/Neuter Status,Daily Activity Level,Diet,Food Brand,Daily Walk Distance (miles),Other Pets in Household,Medications,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,Average Temperature (F),Synthetic,Healthy
6347,Great Dane,Large,Male,1.0,50.0,None,None,Hard food,Nutro,1.0,Yes,Yes,No,13.0,1.0,Moderate,2.0,93.0,Yes,No
6348,Australian Shepherd,Medium,Female,8.0,58.0,Spayed,Very Active,Wet food,,3.0,No,Yes,No,11.0,1.0,Active,1.0,49.0,Yes,Yes
6349,Bulldog,,Female,8.0,29.0,Neutered,Active,Wet food,Wellness,4.0,Yes,No,,11.0,2.0,Very Active,,38.0,Yes,Yes
6350,Doberman,Large,Female,11.0,63.0,,Active,Hard food,Nutro,1.0,,No,No,11.0,3.0,Moderate,3.0,57.0,Yes,Yes
6351,Boxer,Medium,Male,13.0,77.0,Neutered,Active,Special diet,Blue Buffalo,1.0,Yes,Yes,,11.0,1.0,Active,2.0,60.0,Yes,Yes
6352,Doberman,Large,Male,2.0,50.0,Spayed,None,Hard food,Purina,4.0,Yes,No,No,12.0,0.0,Active,0.0,93.0,Yes,Yes
6353,German Shepherd,Large,Male,6.0,34.0,None,Active,Wet food,Blue Buffalo,4.0,Yes,No,No,9.0,3.0,None,1.0,76.0,Yes,Yes
6354,Dachshund,Small,Female,9.0,83.0,None,Active,Hard food,Purina,6.0,No,Yes,No,10.0,0.0,,1.0,89.0,Yes,No
6355,Yorkshire Terrier,Small,Female,8.0,47.0,Spayed,Moderate,Wet food,Hill's Science,,Yes,Yes,No,10.0,2.0,Very Active,0.0,49.0,Yes,No
6356,Great Dane,Large,Male,3.0,37.0,None,Active,Special diet,Pedigree,1.0,No,Yes,No,9.0,3.0,Active,1.0,43.0,Yes,Yes
6357,German Shepherd,Large,Female,6.0,48.0,Neutered,None,Special diet,Iams,2.0,Yes,Yes,No,11.0,1.0,None,1.0,53.0,Yes,Yes
6358,Australian Shepherd,Medium,Male,11.0,55.0,Spayed,,Special diet,Wellness,2.0,Yes,No,No,12.0,2.0,Very Active,1.0,30.0,Yes,Yes
6359,Rottweiler,Large,Female,4.0,61.0,None,None,Hard food,Iams,7.0,Yes,Yes,No,9.0,0.0,Moderate,0.0,74.0,Yes,No
6360,Boxer,Medium,Female,6.0,36.0,Neutered,Very Active,Hard food,Wellness,1.0,Yes,No,No,13.0,1.0,Low,4.0,91.0,Yes,Yes
6361,Great Dane,Large,Male,2.0,78.0,None,Moderate,Home cooked,Special,2.0,Yes,Yes,No,12.0,2.0,Moderate,1.0,59.0,Yes,Yes
6362,Boxer,Medium,Female,8.0,48.0,Spayed,Low,Home cooked,Special,3.0,No,Yes,No,13.0,1.0,None,1.0,88.0,Yes,Yes
6363,Rottweiler,Large,Female,10.0,50.0,None,Low,Hard food,Wellness,0.0,Yes,Yes,No,12.0,2.0,None,0.0,,Yes,No
6364,Beagle,Small,Female,6.0,28.0,Neutered,Active,Home cooked,Special,3.0,No,Yes,No,8.0,3.0,Moderate,1.0,52.0,Yes,Yes
6365,Dachshund,Small,Male,4.0,30.0,Spayed,Very Active,Home cooked,Special,3.0,Yes,Yes,No,9.0,3.0,Very Active,2.0,75.0,Yes,Yes
6366,,Small,Male,7.0,42.0,None,Moderate,Wet food,Hill's Science,4.0,No,No,No,9.0,1.0,Active,1.0,65.0,Yes,Yes
6367,Dachshund,Small,Female,3.0,,None,Very Active,Home cooked,Special,3.0,Yes,Yes,No,12.0,0.0,Very Active,0.0,57.0,Yes,Yes
6368,German Shepherd,Large,Male,10.0,36.0,Spayed,Low,Wet food,Hill's Science,1.0,Yes,No,No,10.0,0.0,Moderate,3.0,80.0,,Yes
6369,Dachshund,Small,Male,10.0,21.0,Neutered,None,Hard food,Royal Canin,4.0,No,Yes,No,11.0,2.0,None,0.0,75.0,Yes,
6370,Labrador Retriever,Large,Male,6.0,62.0,Neutered,Very Active,,Hill's Science,2.0,Yes,Yes,No,10.0,2.0,Low,1.0,70.0,Yes,Yes
6371,Boxer,Medium,Male,1.0,50.0,Spayed,Low,Wet food,Wellness,2.0,,No,No,12.0,1.0,Low,3.0,54.0,Yes,Yes
6372,Australian Shepherd,Medium,Female,6.0,57.0,None,Moderate,Home cooked,Special,4.0,No,No,No,11.0,3.0,Active,4.0,77.0,Yes,Yes
6373,Beagle,Small,Male,11.0,41.0,None,Moderate,Wet food,Pedigree,,No,No,Yes,12.0,1.0,Very Active,,,Yes,No
6374,German Shepherd,Large,Female,2.0,45.0,None,Active,Wet food,Nutro,0.0,No,No,No,11.0,1.0,Active,0.0,52.0,Yes,Yes
6375,Yorkshire Terrier,Small,,11.0,32.0,None,Moderate,Special diet,,2.0,Yes,No,No,12.0,1.0,Low,1.0,37.0,Yes,Yes
6376,Poodle,Small,Female,5.0,28.0,Neutered,Active,Special diet,Blue Buffalo,4.0,No,No,No,11.0,1.0,Active,0.0,70.0,Yes,Yes
6377,Boxer,Medium,Female,12.0,66.0,Neutered,Very Active,Home cooked,Special,4.0,Yes,Yes,No,10.0,3.0,Moderate,1.0,69.0,Yes,Yes
6378,,Small,Male,11.0,42.0,Spayed,Active,Hard food,Royal Canin,3.0,No,Yes,No,,2.0,Moderate,3.0,91.0,Yes,Yes
6379,Beagle,Small,Female,4.0,75.0,None,Moderate,Home cooked,Special,2.0,No,No,No,10.0,0.0,Very Active,0.0,73.0,Yes,Yes
6380,German Shepherd,Large,Male,12.0,42.0,Spayed,Very Active,Home cooked,,2.0,No,No,No,14.0,2.0,Low,1.0,71.0,Yes,Yes
6381,Bulldog,Medium,Male,6.0,78.0,None,Active,Special diet,Hill's Science,,Yes,No,No,13.0,3.0,Very Active,2.0,38.0,Yes,Yes
6382,German Shepherd,Large,Male,13.0,59.0,Spayed,Active,Hard food,Iams,2.0,Yes,Yes,,12.0,0.0,Moderate,1.0,70.0,Yes,Yes
6383,Rottweiler,Large,Male,4.0,58.0,Neutered,,Wet food,Pedigree,4.0,No,No,,10.0,1.0,Low,0.0,78.0,Yes,Yes
6384,Golden Retriever,Large,Female,10.0,21.0,Spayed,Low,Wet food,Pedigree,1.0,Yes,Yes,No,12.0,0.0,Active,1.0,56.0,Yes,No
6385,Labrador Retriever,Large,Male,1.0,42.0,Neutered,Low,Home cooked,Special,2.0,No,Yes,No,12.0,2.0,Active,0.0,68.0,Yes,No
6386,Labrador Retriever,Large,,11.0,38.0,,None,Special diet,Wellness,1.0,Yes,Yes,No,12.0,1.0,Low,3.0,78.0,Yes,No
6387,Rottweiler,Large,Male,3.0,43.0,None,None,Special diet,Nutro,5.0,No,Yes,No,12.0,0.0,Very Active,0.0,69.0,Yes,No
6388,Rottweiler,Large,Male,,45.0,Neutered,Active,Home cooked,Special,4.0,No,No,No,10.0,3.0,Very Active,2.0,55.0,Yes,Yes
6389,Rottweiler,Large,Female,13.0,55.0,,Very Active,Home cooked,Special,4.0,Yes,No,No,13.0,1.0,Active,2.0,77.0,Yes,Yes
6390,Doberman,Large,Female,8.0,55.0,Spayed,Moderate,Special diet,Blue Buffalo,2.0,Yes,No,No,12.0,1.0,Active,2.0,48.0,Yes,Yes
6391,Golden Retriever,Large,Female,3.0,53.0,Neutered,Moderate,Home cooked,Special,2.0,No,,No,13.0,1.0,Low,0.0,63.0,Yes,Yes
6392,Poodle,Small,Female,2.0,53.0,Spayed,None,Special diet,Nutro,3.0,Yes,Yes,No,10.0,1.0,Very Active,4.0,96.0,Yes,Yes
6393,Boxer,Medium,Female,1.0,43.0,None,Moderate,Special diet,Wellness,4.0,No,No,No,13.0,2.0,Low,2.0,94.0,Yes,Yes
6394,Siberian Husky,Medium,Female,5.0,29.0,Spayed,Moderate,Wet food,Royal Canin,4.0,No,No,No,12.0,2.0,Moderate,0.0,72.0,Yes,Yes
6395,Bulldog,Medium,Male,11.0,45.0,Spayed,None,Special diet,Iams,,Yes,No,,10.0,2.0,Very Active,0.0,92.0,Yes,Yes
6396,Doberman,Large,Male,3.0,59.0,Spayed,Moderate,Special diet,,3.0,Yes,Yes,No,11.0,0.0,Active,1.0,,Yes,Yes
6397,Labrador Retriever,Large,Female,8.0,59.0,Spayed,Active,Wet food,Nutro,3.0,No,No,No,13.0,1.0,Moderate,2.0,98.0,Yes,Yes
6398,Siberian Husky,Medium,Female,11.0,59.0,Spayed,Moderate,Wet food,Pedigree,3.0,Yes,,No,12.0,0.0,Active,4.0,69.0,Yes,Yes
6399,Great Dane,Large,Male,,45.0,Neutered,Very Active,Home cooked,Special,2.0,Yes,Yes,No,13.0,3.0,,4.0,84.0,Yes,Yes
6400,Poodle,Small,Female,1.0,16.0,None,Moderate,Special diet,Nutro,4.0,Yes,No,Yes,10.0,1.0,Very Active,2.0,59.0,Yes,No
6401,Rottweiler,Large,Female,13.0,41.0,Spayed,Low,Wet food,Purina,2.0,Yes,Yes,No,12.0,2.0,Very Active,1.0,93.0,Yes,
6402,Yorkshire Terrier,Small,Male,9.0,29.0,Neutered,Very Active,Hard food,Hill's Science,3.0,No,Yes,No,13.0,2.0,Moderate,1.0,63.0,Yes,Yes
6403,Yorkshire Terrier,Small,Female,8.0,,Spayed,Active,Special diet,Nutro,3.0,Yes,Yes,No,14.0,0.0,None,2.0,60.0,Yes,Yes
6404,Siberian Husky,Medium,Male,7.0,37.0,Spayed,Active,Home cooked,Special,2.0,Yes,No,No,10.0,0.0,Moderate,2.0,53.0,Yes,Yes
6405,Siberian Husky,Medium,Male,12.0,65.0,None,Active,Home cooked,Special,3.0,No,Yes,,10.0,1.0,Moderate,2.0,77.0,Yes,Yes
6406,Boxer,Medium,Female,9.0,33.0,Neutered,Active,Home cooked,Special,0.0,Yes,No,Yes,12.0,2.0,Moderate,0.0,53.0,Yes,Yes
6407,Golden Retriever,Large,Female,9.0,45.0,None,Very Active,Home cooked,,3.0,Yes,Yes,No,9.0,1.0,Active,1.0,59.0,Yes,Yes
6408,German Shepherd,Large,Female,5.0,59.0,None,Very Active,Special diet,Wellness,3.0,Yes,Yes,No,12.0,3.0,Low,1.0,76.0,Yes,Yes
6409,Australian Shepherd,Medium,Female,3.0,49.0,Spayed,None,Home cooked,Special,2.0,Yes,Yes,No,11.0,2.0,Active,2.0,68.0,Yes,Yes
6410,Poodle,Small,Female,9.0,44.0,None,Very Active,Wet food,Hill's Science,4.0,No,No,No,12.0,2.0,Moderate,3.0,,Yes,Yes
6411,Great Dane,Large,Female,12.0,60.0,Spayed,Very Active,Wet food,Purina,2.0,Yes,,No,10.0,1.0,Low,1.0,31.0,Yes,Yes
6412,Bulldog,Medium,Female,2.0,68.0,Neutered,Active,Hard food,Nutro,4.0,No,Yes,No,9.0,2.0,Very Active,0.0,92.0,Yes,Yes
6413,Bulldog,Medium,Male,4.0,68.0,Spayed,Very Active,Special diet,Wellness,3.0,Yes,No,No,12.0,4.0,Active,1.0,75.0,Yes,Yes
6414,Bulldog,Medium,Male,3.0,64.0,None,Active,Home cooked,Special,1.0,,No,No,12.0,2.0,Very Active,1.0,69.0,Yes,Yes
6415,German Shepherd,Large,Male,8.0,54.0,Neutered,Very Active,Wet food,Blue Buffalo,2.0,Yes,No,No,14.0,1.0,Low,4.0,62.0,Yes,Yes
6416,Golden Retriever,Large,Female,8.0,55.0,Neutered,Moderate,Hard food,Blue Buffalo,2.0,Yes,Yes,No,11.0,2.0,Low,4.0,92.0,Yes,Yes
6417,Bulldog,Medium,Male,2.0,24.0,Spayed,None,Hard food,Blue Buffalo,2.0,Yes,No,No,9.0,1.0,Low,4.0,68.0,Yes,Yes
6418,Bulldog,,Male,12.0,47.0,Neutered,Moderate,Hard food,Wellness,0.0,Yes,Yes,No,11.0,1.0,Low,1.0,66.0,Yes,No
6419,Australian Shepherd,Medium,Male,12.0,29.0,Neutered,Low,Hard food,Purina,3.0,Yes,No,No,12.0,2.0,Low,3.0,76.0,Yes,Yes
6420,Golden Retriever,Large,Female,3.0,70.0,Neutered,Very Active,Hard food,Wellness,5.0,No,,No,,2.0,,3.0,55.0,Yes,
6421,Beagle,Small,Male,6.0,77.0,Spayed,Low,Wet food,Blue Buffalo,4.0,Yes,No,No,12.0,1.0,Moderate,0.0,53.0,Yes,Yes
6422,Yorkshire Terrier,Small,Female,13.0,45.0,None,Moderate,Wet food,Nutro,1.0,No,Yes,No,11.0,2.0,Low,3.0,46.0,Yes,No
6423,Siberian Husky,Medium,Male,8.0,59.0,Neutered,Low,Special diet,Royal Canin,0.0,Yes,No,No,,2.0,Moderate,3.0,67.0,Yes,Yes
6424,,Small,Male,8.0,38.0,Neutered,Active,Hard food,Blue Buffalo,3.0,Yes,No,No,11.0,2.0,Moderate,2.0,84.0,Yes,Yes
6425,Boxer,Medium,Male,3.0,70.0,None,Active,Special diet,Nutro,1.0,No,No,No,9.0,1.0,Very Active,2.0,,Yes,Yes
6426,Labrador Retriever,Large,Female,3.0,42.0,Spayed,Low,Home cooked,Special,0.0,No,No,Yes,11.0,3.0,Very Active,3.0,68.0,Yes,Yes
6427,Rottweiler,Large,Female,1.0,64.0,Spayed,Moderate,Home cooked,Special,2.0,Yes,No,No,10.0,2.0,Very Active,1.0,55.0,Yes,Yes
6428,Australian Shepherd,Medium,Female,2.0,49.0,Spayed,Active,Hard food,Nutro,1.0,No,Yes,No,9.0,1.0,Active,0.0,69.0,Yes,Yes
6429,Siberian Husky,Medium,,1.0,,None,Low,Wet food,Iams,2.0,No,No,No,10.0,1.0,Active,0.0,82.0,Yes,No
6430,Doberman,Large,Male,13.0,64.0,Spayed,Moderate,Hard food,Hill's Science,3.0,No,No,No,10.0,0.0,Moderate,2.0,79.0,Yes,Yes
6431,German Shepherd,Large,Male,10.0,81.0,Neutered,Low,Hard food,Nutro,3.0,Yes,Yes,No,8.0,1.0,Moderate,0.0,90.0,Yes,No
6432,Siberian Husky,Medium,Female,7.0,55.0,Spayed,None,Hard food,Royal Canin,,Yes,No,No,12.0,1.0,Moderate,0.0,32.0,Yes,Yes
6433,Yorkshire Terrier,Small,,10.0,17.0,Neutered,Low,Wet food,Iams,2.0,No,No,No,12.0,3.0,Low,4.0,59.0,Yes,No
6434,Great Dane,Large,Female,4.0,67.0,Neutered,Moderate,Hard food,Blue Buffalo,4.0,Yes,No,No,12.0,2.0,Very Active,2.0,75.0,Yes,Yes
6435,Australian Shepherd,Medium,Female,13.0,60.0,Neutered,Active,Wet food,Blue Buffalo,2.0,Yes,No,No,12.0,2.0,Very Active,,45.0,Yes,Yes
6436,Doberman,Large,Male,13.0,31.0,None,Moderate,Home cooked,Special,2.0,No,Yes,No,12.0,2.0,Very Active,4.0,44.0,Yes,No
6437,Bulldog,Medium,Female,2.0,44.0,,Very Active,Home cooked,Special,0.0,No,No,Yes,14.0,2.0,Moderate,0.0,86.0,Yes,Yes
6438,Labrador Retriever,Large,Male,12.0,35.0,Neutered,Moderate,Hard food,Iams,2.0,Yes,No,No,11.0,2.0,None,4.0,74.0,Yes,Yes
6439,Bulldog,Medium,Female,6.0,74.0,None,Very Active,Hard food,Nutro,3.0,No,Yes,No,8.0,2.0,Very Active,1.0,44.0,Yes,Yes
6440,Australian Shepherd,,Male,8.0,66.0,Neutered,None,Wet food,Nutro,2.0,Yes,No,No,12.0,2.0,None,1.0,63.0,Yes,Yes
6441,Doberman,Large,Female,5.0,58.0,Spayed,Low,Hard food,Wellness,2.0,Yes,Yes,No,10.0,1.0,Very Active,0.0,63.0,Yes,
6442,Bulldog,Medium,Male,5.0,52.0,Neutered,Very Active,Home cooked,Special,0.0,No,No,No,12.0,3.0,Moderate,1.0,61.0,Yes,Yes
6443,Bulldog,Medium,Male,8.0,63.0,Spayed,Active,Wet food,Wellness,2.0,Yes,Yes,No,11.0,1.0,None,0.0,73.0,Yes,
6444,Boxer,Medium,Female,,33.0,Spayed,Moderate,Special diet,Blue Buffalo,5.0,No,No,No,12.0,1.0,Very Active,1.0,51.0,Yes,Yes
6445,Australian Shepherd,Medium,Male,7.0,47.0,Spayed,Low,Special diet,Purina,6.0,Yes,Yes,No,,3.0,Active,1.0,67.0,Yes,Yes
6446,Great Dane,Large,Female,,26.0,Spayed,Very Active,Home cooked,Special,3.0,Yes,No,No,12.0,2.0,Very Active,1.0,66.0,Yes,Yes
6447,Labrador Retriever,Large,Male,,31.0,Spayed,Low,Hard food,Wellness,0.0,No,Yes,No,11.0,2.0,Very Active,1.0,68.0,Yes,Yes
6448,Bulldog,Medium,Male,7.0,16.0,None,None,Wet food,Pedigree,4.0,No,No,No,,2.0,None,,72.0,Yes,No
6449,German Shepherd,Large,Female,4.0,81.0,Spayed,Very Active,Wet food,Iams,1.0,No,Yes,Yes,8.0,2.0,Low,1.0,72.0,Yes,No
6450,Boxer,Medium,Male,1.0,58.0,None,Moderate,Special diet,Royal Canin,5.0,No,Yes,No,9.0,1.0,Low,0.0,83.0,Yes,No
6451,German Shepherd,Large,Female,4.0,49.0,Neutered,Active,Hard food,Iams,5.0,No,No,No,14.0,0.0,None,0.0,96.0,Yes,Yes
6452,Boxer,Medium,Female,2.0,43.0,Spayed,Active,Hard food,Nutro,5.0,No,Yes,No,11.0,0.0,Active,2.0,57.0,Yes,Yes
6453,German Shepherd,Large,Male,8.0,38.0,Neutered,None,Hard food,Purina,4.0,Yes,No,No,14.0,0.0,None,2.0,,Yes,Yes
6454,Australian Shepherd,Medium,Female,3.0,28.0,,Moderate,Wet food,Nutro,3.0,Yes,No,No,10.0,3.0,Very Active,0.0,39.0,Yes,Yes
6455,Australian Shepherd,Medium,Male,12.0,36.0,None,Moderate,Special diet,Pedigree,0.0,Yes,Yes,No,11.0,2.0,None,0.0,82.0,Yes,No
6456,Bulldog,Medium,Male,12.0,38.0,None,Low,Special diet,Pedigree,2.0,Yes,Yes,Yes,9.0,3.0,Low,1.0,72.0,Yes,No
6457,Boxer,Medium,Male,11.0,64.0,Neutered,Low,Special diet,Blue Buffalo,4.0,No,Yes,No,11.0,1.0,Active,0.0,76.0,Yes,No
6458,Golden Retriever,Large,Male,6.0,33.0,Neutered,Very Active,Wet food,Nutro,2.0,Yes,Yes,No,12.0,2.0,Very Active,3.0,67.0,Yes,Yes
6459,Bulldog,Medium,Male,5.0,57.0,Spayed,None,Home cooked,Special,4.0,No,Yes,No,10.0,0.0,Very Active,3.0,43.0,Yes,Yes
6460,Yorkshire Terrier,Small,Female,1.0,42.0,None,Active,Home cooked,Special,2.0,Yes,No,No,10.0,2.0,None,1.0,86.0,Yes,Yes
6461,Rottweiler,Large,Male,1.0,39.0,None,None,Hard food,Wellness,3.0,No,No,No,14.0,0.0,Active,4.0,62.0,Yes,No
6462,Chihuahua,Small,Female,4.0,47.0,Neutered,Low,Home cooked,Special,4.0,No,No,No,9.0,2.0,Moderate,0.0,42.0,Yes,Yes
6463,Rottweiler,Large,Male,,33.0,Neutered,Moderate,Special diet,Pedigree,2.0,Yes,No,No,12.0,2.0,Very Active,3.0,76.0,Yes,Yes
6464,Golden Retriever,Large,Female,11.0,34.0,Spayed,Moderate,Wet food,Royal Canin,3.0,No,No,Yes,14.0,2.0,Active,0.0,68.0,Yes,No
6465,Great Dane,Large,,12.0,55.0,Spayed,Active,Home cooked,Special,3.0,No,Yes,No,12.0,2.0,Low,2.0,64.0,Yes,Yes
6466,Doberman,Large,Female,1.0,44.0,Spayed,Moderate,Special diet,Iams,2.0,No,No,Yes,10.0,2.0,Low,3.0,42.0,Yes,Yes
6467,Rottweiler,Large,Male,6.0,51.0,,Active,Home cooked,Special,3.0,Yes,No,No,9.0,1.0,Very Active,2.0,63.0,Yes,Yes
6468,Beagle,Small,Female,1.0,69.0,Neutered,Very Active,Hard food,Pedigree,1.0,Yes,Yes,No,9.0,3.0,Very Active,1.0,53.0,Yes,Yes
6469,Beagle,,,6.0,72.0,None,None,,Nutro,6.0,No,No,No,13.0,0.0,None,,69.0,Yes,Yes
6470,Golden Retriever,Large,Male,2.0,22.0,None,Active,,Special,1.0,Yes,Yes,No,9.0,2.0,Low,4.0,59.0,Yes,Yes
6471,Golden Retriever,Large,Male,11.0,,Spayed,Moderate,Special diet,Nutro,3.0,No,Yes,No,12.0,2.0,Active,2.0,57.0,Yes,Yes
6472,German Shepherd,Large,Male,8.0,38.0,Spayed,Moderate,Wet food,Wellness,5.0,Yes,Yes,No,12.0,2.0,Low,1.0,83.0,Yes,
6473,Australian Shepherd,Medium,Male,11.0,47.0,Neutered,Low,Home cooked,Special,2.0,Yes,Yes,No,13.0,2.0,Moderate,1.0,83.0,Yes,Yes
6474,Chihuahua,Small,Male,4.0,12.0,None,Moderate,Hard food,Nutro,0.0,No,Yes,No,10.0,0.0,None,0.0,75.0,Yes,No
6475,Bulldog,Medium,,5.0,47.0,Spayed,None,Home cooked,Special,4.0,Yes,Yes,No,11.0,1.0,None,1.0,55.0,Yes,Yes
6476,Yorkshire Terrier,Small,Male,9.0,18.0,None,,,Wellness,2.0,Yes,No,No,11.0,3.0,Moderate,1.0,65.0,Yes,No
6477,Siberian Husky,Medium,Female,5.0,33.0,None,Low,Hard food,,1.0,No,No,No,11.0,,Active,1.0,68.0,Yes,Yes
6478,Australian Shepherd,Medium,Female,11.0,41.0,Neutered,Moderate,Special diet,Blue Buffalo,4.0,No,No,No,14.0,,Moderate,1.0,73.0,Yes,Yes
6479,Rottweiler,Large,Male,12.0,72.0,Spayed,Low,Wet food,Hill's Science,2.0,Yes,Yes,No,12.0,,None,1.0,75.0,Yes,No
6480,Dachshund,Small,Male,1.0,60.0,None,Low,Wet food,Royal Canin,1.0,No,Yes,No,11.0,3.0,Very Active,2.0,65.0,Yes,No
6481,German Shepherd,Large,Female,6.0,50.0,,Very Active,Hard food,Royal Canin,3.0,No,No,No,12.0,1.0,Low,2.0,76.0,,Yes
6482,Chihuahua,Small,Male,1.0,40.0,None,Moderate,Special diet,Wellness,5.0,Yes,Yes,No,11.0,3.0,None,3.0,83.0,Yes,No
6483,Beagle,Small,Female,2.0,47.0,,Moderate,Home cooked,Special,3.0,No,No,No,10.0,1.0,Active,1.0,53.0,Yes,Yes
6484,Siberian Husky,Medium,Female,2.0,59.0,None,Moderate,Wet food,Royal Canin,1.0,Yes,Yes,No,10.0,1.0,Very Active,1.0,61.0,Yes,No
6485,,Small,Female,13.0,39.0,Spayed,Moderate,Special diet,Royal Canin,2.0,No,No,No,10.0,1.0,Moderate,0.0,83.0,Yes,Yes
6486,Yorkshire Terrier,Small,Female,11.0,53.0,None,None,Wet food,Nutro,3.0,No,Yes,No,13.0,1.0,Moderate,1.0,54.0,Yes,No
6487,Golden Retriever,Large,Female,10.0,78.0,None,None,Home cooked,,1.0,Yes,Yes,No,12.0,2.0,None,2.0,59.0,Yes,No
6488,Beagle,Small,Female,6.0,33.0,Neutered,Very Active,Special diet,Nutro,2.0,No,No,No,11.0,,Very Active,3.0,59.0,Yes,Yes
6489,Dachshund,Small,Male,1.0,47.0,Spayed,Very Active,Hard food,,2.0,No,No,No,12.0,2.0,Moderate,3.0,,Yes,Yes
6490,Dachshund,Small,,4.0,39.0,None,Very Active,Hard food,Pedigree,3.0,,No,,10.0,4.0,Low,0.0,62.0,Yes,Yes
6491,Dachshund,Small,Male,4.0,34.0,None,Active,Wet food,Nutro,2.0,Yes,,No,12.0,1.0,Active,1.0,58.0,Yes,Yes
6492,Great Dane,Large,Male,8.0,62.0,Spayed,Very Active,Wet food,,2.0,Yes,No,No,9.0,0.0,,2.0,72.0,Yes,Yes
6493,Beagle,Small,Female,5.0,66.0,Neutered,Moderate,Home cooked,Special,3.0,Yes,Yes,No,12.0,3.0,Low,4.0,85.0,Yes,Yes
6494,Beagle,Small,Female,13.0,40.0,None,Moderate,Home cooked,Special,1.0,Yes,No,No,10.0,0.0,Moderate,1.0,58.0,Yes,Yes
6495,Golden Retriever,Large,Female,1.0,38.0,None,Moderate,Hard food,Pedigree,4.0,Yes,No,No,11.0,1.0,Active,0.0,79.0,Yes,No
6496,Beagle,Small,Female,9.0,72.0,Neutered,Active,Wet food,Pedigree,2.0,Yes,Yes,No,12.0,1.0,Very Active,3.0,58.0,Yes,Yes
6497,German Shepherd,Large,Female,11.0,45.0,None,Active,Home cooked,Special,2.0,Yes,Yes,No,12.0,0.0,,1.0,66.0,Yes,Yes
6498,Siberian Husky,Medium,Female,6.0,51.0,Spayed,None,Home cooked,Special,5.0,Yes,Yes,No,13.0,1.0,Moderate,2.0,84.0,Yes,Yes
6499,Doberman,Large,Female,10.0,41.0,None,Active,Wet food,Blue Buffalo,3.0,Yes,Yes,No,11.0,3.0,Moderate,3.0,48.0,Yes,No
6500,Yorkshire Terrier,Small,Female,9.0,53.0,Neutered,None,Hard food,Pedigree,,Yes,Yes,No,10.0,0.0,Active,3.0,57.0,Yes,No
6501,German Shepherd,Large,Female,9.0,28.0,Spayed,Active,Home cooked,Special,2.0,Yes,No,No,10.0,2.0,Moderate,4.0,87.0,,Yes
6502,Yorkshire Terrier,Small,Male,2.0,43.0,Neutered,Low,Home cooked,Special,3.0,No,No,No,11.0,2.0,Moderate,2.0,72.0,Yes,Yes
6503,Doberman,Large,Male,2.0,72.0,None,Very Active,Home cooked,Special,2.0,No,No,No,12.0,2.0,Active,1.0,82.0,Yes,Yes
6504,Dachshund,Small,Female,1.0,82.0,Neutered,Very Active,Special diet,Wellness,1.0,Yes,Yes,No,10.0,2.0,None,2.0,77.0,,Yes
6505,Golden Retriever,Large,Female,9.0,43.0,Spayed,Very Active,Home cooked,Special,3.0,Yes,No,No,,0.0,Active,2.0,62.0,,Yes
6506,Beagle,Small,Male,8.0,52.0,Neutered,None,Wet food,Royal Canin,3.0,No,,No,9.0,0.0,None,3.0,67.0,Yes,Yes
6507,Bulldog,Medium,Male,6.0,78.0,None,Low,Wet food,Royal Canin,1.0,Yes,Yes,No,11.0,2.0,Active,1.0,31.0,Yes,No
6508,Yorkshire Terrier,Small,Female,7.0,,Neutered,Active,Special diet,Hill's Science,3.0,Yes,No,No,14.0,2.0,Very Active,2.0,64.0,Yes,Yes
6509,Golden Retriever,Large,Female,11.0,39.0,Neutered,None,Special diet,Royal Canin,3.0,No,No,No,9.0,2.0,Active,2.0,70.0,Yes,Yes
6510,Siberian Husky,Medium,Male,1.0,28.0,None,Moderate,Hard food,Blue Buffalo,5.0,No,Yes,No,12.0,3.0,Very Active,2.0,71.0,Yes,No
6511,Bulldog,Medium,Male,9.0,21.0,None,Active,Home cooked,Special,4.0,No,No,No,12.0,2.0,Moderate,0.0,73.0,Yes,
6512,Rottweiler,Large,,1.0,49.0,Spayed,Active,Special diet,Royal Canin,,No,,No,13.0,2.0,Moderate,1.0,53.0,Yes,Yes
6513,Chihuahua,Small,Male,7.0,38.0,Spayed,None,Special diet,Hill's Science,3.0,Yes,Yes,No,11.0,1.0,Moderate,1.0,,Yes,Yes
6514,Golden Retriever,Large,Male,4.0,73.0,None,Moderate,Home cooked,Special,2.0,Yes,No,No,12.0,,Low,3.0,70.0,Yes,Yes
6515,Siberian Husky,Medium,Female,5.0,41.0,None,Low,Wet food,Wellness,3.0,Yes,No,,12.0,2.0,Very Active,1.0,68.0,Yes,Yes
6516,Doberman,Large,Male,8.0,36.0,Neutered,Very Active,Special diet,Nutro,3.0,Yes,,Yes,11.0,2.0,None,2.0,69.0,Yes,Yes
6517,Rottweiler,Large,Female,4.0,52.0,,Low,Home cooked,Special,1.0,,Yes,No,11.0,2.0,Very Active,3.0,100.0,Yes,
6518,Rottweiler,Large,Male,11.0,53.0,Spayed,Moderate,Hard food,Royal Canin,3.0,No,Yes,No,10.0,0.0,Low,0.0,47.0,Yes,No
6519,Siberian Husky,Medium,Male,7.0,30.0,Spayed,None,Wet food,Wellness,5.0,No,Yes,No,10.0,2.0,None,2.0,70.0,Yes,Yes
